Timestamp,Study_author,Publication_year,Study_title,DOI,Exclusion_reason,Comment for Exclusion_reason,Study_type,"Comment for study_type
Record comments for the question above if needed (i.e. study type does not lie within the specified categories). Start with ""NEW"" when noting new study type.",Data_collected_years,Data_collected_locations,TARA_focus ,TARA_region,"TARA_region_specific
List the locations where the study was completed in NSW. If multiple locations seperate by with ; ","Threat_source_category_1
Select more than one of applicable.",Threat_source ,Comment for threat_source,"Specific_threat_source 
If detailed specify the actual threat activity. If multiple threat activities are listed seperate terms in a list with ;",Receptor_category-threat_receptor ,Comment for receptor_category-threat_receptor,"Specific_receptor_category-threat_receptor
If detailed list the specific receptor. If there is more than one receptor measured list these as terms separated by ;","Mechanism for receptor threat relationship
If detailed list the mechanism through which the threat has an effect on the receptor (e.g. disease). These should align with the mechanisms outlined in the EBR.","Outcome_trend
Specify the overall outcome of the threat receptor interaction specified. If there is more than one threat receptor combination, or more than one outcome measured please return the main effect here and specify other effects in the free text category below.","Comment_outcome_trend
Comment for outcome trend. If other outcomes need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Outcome_measured
If stated specify the outcome measured (from which the trend is specified above). If multiple outcomes are measured please list these as terms (3 words or less) separated by ;","Condition_comparator
If condition of the receptor (i.e. marine asset) is discussed in the article, specify what the condition is compared too. For example this could be a year, or a treatment condition. ","Condition_trend
If the condition of the asset is discussed specify the outcome of the asset compared to the comparator. ","Comment_condition_trend
Comment for condition trend. If other conditions need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Condition_measured
If stated specify the parameter through which condition is measured (from which the trend is specified above). If multiple condition are measured please list these as terms (3 words or less) separated by ;",Comment for extraction
8/17/2022 11:26:51,Yee,2019,"Re-discovery of the critically endangered marine brown alga, Nereia lophocladia (Order Sporochnales) at Coffs Harbour, NSW, Australia",10.1007/s12526-017-0796-y,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,1 - North,Coffs Harbour ,,,,,10 - Threatened and protected species - Species and communities protected under FMA,,"Brown Alga, Nereia lophocladia",,,Rediscovered,,,,,,"The alga was rediscovered during targeted surveys in September 2015, representing the first confirmed sighting of the critically endangered species at its Type Locality in 13 years, with findings that document a significant expansion of the species distribution range"
8/18/2022 11:09:05,Wootton,2021,Low abundance of microplastics in commercially caught fish across southern Australia,10.1016/j.envpol.2021.118030,NA - study included for data extraction,,Primary-field,,Post 2015,Australia,1 - Coastal and marine,2 - Central,Sydney,Land based activities,"67 - Water pollution on environmental values - litter, solid waste, marine debris and microplastics",,Microplastics,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),,Other/Unclear/Not specified,,Percent of fish with microplastics (mean = 35.5 %),,,,,This study shows that approximately one third of all commercially important fish being sold in Australian fish markets had microplastic in their GI tract contents. 
8/18/2022 11:18:26,Woodings,2021,"Population genomics of the Eastern Rock Lobster, Sagmariasus verreauxi, during spawning stock recovery from over-exploitation",10.1093/icesjms/fsab117,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,"1 - Coastal and marine, 5 - Economic","1 - North, 2 - Central",,Resource use,63 - Excessive or illegal extraction; 13 - Hand gathering; 70 - Reductions in abundances of species and trophic levels,,Overfishing impacts ,8 - Marine habitats and assemblages - Shallow reefs,,Eastern Rock Lobster,Overharvesting individuals,Other/Unclear/Not specified,Single management unit with recent bottlenecks at all locations,Genetic diversity of populations off NSW,,,,,Determine NSW S. verreauxi consist of a single genetic stock. A single management unit is appropriate.
8/18/2022 11:27:39,Wong,2018,Climate affects fish-kill events in subtropical estuaries of eastern Australia,10.1071/MF17307,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,2 - Estuarine,1 - North,Ballina,Climate change,"38 - Climate and sea temperature rise 20 years; 40 - Altered storm / cyclone activity (including flooding storm surge, inundation) 20 years",,Rain following drought causing hypoxic events,14 - Estuarine habitats and assemblages - Fish assemblages,,Fish (various),Hypoxia (also called black water events),Negative,,Fish kills,,,,,Daily rainfall patterns preceding floods with fish-kill events tended to be drier than rainfall patterns preceding floods when a fish kill did not occur. It is proposed that estuarine hypoxia resulting in a fish kill is increased by prolonged dry periods followed by rapid and intensive rainfall preceding the flood peak. 
8/18/2022 11:39:48,Williamson,2022,Genetic differentiation in the threatened soft coral Dendronephthya australis in temperate eastern Australia,10.1111/aec.13160,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,"1 - North, 2 - Central, 3 - South",Port Stephens; Ettalong; Jervis Bay,,,,,10 - Threatened and protected species - Species and communities protected under FMA; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,"Soft coral, Dendronephthya australis",,,,,Sites,Other/Unclear/Not specified,,Genetic diversity,"Relatively high levels of genetic differentiation were observed between Jervis Bay and the other sites, indicating limited gene flow between this location and others. Genetic distinctiveness, low diversity at the southern location suggested that it was subjected to a recent population decline and genetic bottleneck. Colonies at Seahorse Gardens and Ettalong, approximately 150 km south of Seahorse Gardens, displayed greater genetic diversity, making these sites more likely to host ancestral populations and to have acted as refugia."
8/18/2022 11:49:26,Voerman,2017,Habitat associations of an expanding native alga,,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,2 - Central,,"Land based activities, Climate change","38 - Climate and sea temperature rise 20 years; 66 - Water pollution on environmental values - agricultural diffuse source runoff; 64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows; 65 - Water pollution on environmental values - urban stormwater discharge",,Various climate change and water pollution,8 - Marine habitats and assemblages - Shallow reefs,,"Rocky reefs, Caulerpa filiformis",Range expansion,Other/Unclear/Not specified,Narrow reefs with high sedimentation are vulnerable to dominance by Caulerpa.,,,,,,"Algal diversity and community composition typically differed in the presence of C. filiformis, often with a reduction of algal abundances, in particular Sargassum spp.,Monitoring suggested that C. filiformis does not invade and outcompete undisturbed adjacent canopy-forming algae over a 12 month period. Results suggest that disturbance processes (possibly linked to sedimentation) are important determinants of C. filiformis cover and spread."
8/18/2022 11:56:17,Ubrihien,2017,"Bioaccumulation, oxidative stress and cellular damage in the intertidal gastropod Bembicium nanum exposed to a metal contamination gradient",10.1071/MF16026,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,"2 - Central, 3 - South",Port Kembla; Kiama,Land based activities,"26 - Oil, gas, minerals, sand, aggregate, mining coal",,Steel manufacturing and copper refining at Port Kembla,17 - Estuarine habitats and assemblages - Rocky shores,,Gastropod B.nanum as a biomarker,Metal contamination,Negative,,Various metal levels and physiological effects,"Port Kembla (impacted), Kiama (unimpacted)",Other/Unclear/Not specified,,Metal contamination,"Total tissue metal concentrations were highest in Port Kembla organisms. B. nanum from Port Kembla also had significantly higher lysosomal destabilisation, being 36% higher than Kiama and 80% higher than Shellharbour over the combined sampling times."
8/18/2022 12:06:03,Tonmoy,2018,"Vulnerability to sea level rise: A novel local-scale indicator-based assessment methodology and application to eight beaches in Shoalhaven, Australia",10.1016/j.ecolind.2017.10.010,The study is only theoretical/methodological,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2022 13:07:34,Taylor,2018,Applying acoustic telemetry to understand contaminant exposure and bioaccumulation patterns in mobile fishes,10.1016/j.scitotenv.2017.12.177,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,2 - Central,Sydney,Land based activities,32 - Agricultural diffuse source runoff; 31 - Clearing riparian and adjacent habitat including wetland drainage; 0 - Other/Unclear/NEW,NEW_Contaminated_fill,PCDD/Fs,12 - Clean waters - Estuarine waters; 14 - Estuarine habitats and assemblages - Fish assemblages; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,Fish (various),Accumulation and reproduction impacts (reproductive toxicity),Negative,Some species are likely to be present in highly contaminated areas during reproductive cycles. ,,,,,,"There was some seasonal variation in distribution along the estuary, but movement patterns indicated that Sea Mullet, Yellowfin Bream, Silver Trevally, and Mulloway were likely to be exposed to contaminated areas during the period of gonadal maturation."
8/18/2022 13:26:49,Tate,2019,The acute physiological status of white sharks (Carcharodon carcharias) exhibits minimal variation after capture on SMART drumlines,10.1093/conphys/coz042,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,"1 - Coastal and marine, 3 - Social",1 - North,Ballina; Coffs Harbour; Crowdy Head; Forster,Resource use,23 - Shark meshing of swimming beaches,NEW_Shark_drumline,SMART drumline,5 - Marine habitats and assemblages - Fish assemblages; 10 - Threatened and protected species - Species and communities protected under FMA,,"White Shark, Carcharodon carcharias",Capture,Neutral (no effect),Harm was minimised,Blood variables indicating mortality after capture.,,,,,"Results indicate that the capture process is relatively benign and that the current response times used here are appropriate to minimize long-term negative impacts on released white sharks. Where white sharks are likely to interact negatively with beachgoers, SMART drumlines can therefore be a useful addition to bather protection programmes that also aim to minimize harm to captured animals."
8/18/2022 13:34:10, Szabo,2020,Correlations between Per‐ and Polyfluoroalkyl Substances and Body Morphometrics in Fledgling Shearwaters Impacted by Plastic Consumption from a Remote Pacific Island,10.1002/etc.4924,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,,Lord Howe Island,Land based activities,"67 - Water pollution on environmental values - litter, solid waste, marine debris and microplastics",,Polyfluoroalkyl substances (POPs) and plastics ,11 - Threatened and protected species - Species protected under BCA,,Shearwaters,Bioaccumulation; Ingestion,Negative,79 % of individuals had plastic present in intestinal tract.,% of birds plastic present; POP concentrations,,,,,"Plastic was present in the intestinal tract of 79% of individuals although there was no correlation between PFAS concentrations and plastic mass, indicating that ingested plastic is not the likely primary exposure source."
