,TARA_focus,TARA_region,Threat_source_category,Threat_source,Receptor_category.threat_receptor,Evidence_stream
1,1 - Coastal and marine,"1 - North, 2 - Central",Resource use,63 - Excessive or illegal extraction,8 - Marine habitats and assemblages - Shallow reefs,ES_1
2,5 - Economic,"1 - North, 2 - Central",Resource use,63 - Excessive or illegal extraction,8 - Marine habitats and assemblages - Shallow reefs,ES_1
3,1 - Coastal and marine,"1 - North, 2 - Central",Resource use,13 - Hand gathering,8 - Marine habitats and assemblages - Shallow reefs,ES_1
4,5 - Economic,"1 - North, 2 - Central",Resource use,13 - Hand gathering,8 - Marine habitats and assemblages - Shallow reefs,ES_1
5,1 - Coastal and marine,"1 - North, 2 - Central",Resource use,70 - Reductions in abundances of species and trophic levels,8 - Marine habitats and assemblages - Shallow reefs,ES_1
6,5 - Economic,"1 - North, 2 - Central",Resource use,70 - Reductions in abundances of species and trophic levels,8 - Marine habitats and assemblages - Shallow reefs,ES_1
7,1 - Coastal and marine,1 - North,Resource use,23 - Shark meshing of swimming beaches,5 - Marine habitats and assemblages - Fish assemblages,ES_1
8,3 - Social,1 - North,Resource use,23 - Shark meshing of swimming beaches,5 - Marine habitats and assemblages - Fish assemblages,ES_1
9,1 - Coastal and marine,1 - North,Resource use,23 - Shark meshing of swimming beaches,10 - Threatened and protected species - Species and communities protected under FMA,ES_1
10,3 - Social,1 - North,Resource use,23 - Shark meshing of swimming beaches,10 - Threatened and protected species - Species and communities protected under FMA,ES_1
11,1 - Coastal and marine,2 - Central,Resource use,23 - Shark meshing of swimming beaches,8 - Marine habitats and assemblages - Shallow reefs,ES_1
12,1 - Coastal and marine,2 - Central,Resource use,23 - Shark meshing of swimming beaches,11 - Threatened and protected species - Species protected under BCA,ES_1
13,1 - Coastal and marine,2 - Central,Resource use,11 - Boat-based line and trap fishing,11 - Threatened and protected species - Species protected under BCA,ES_1
14,2 - Estuarine,"1 - North, 2 - Central, 3 - South",Resource use,11 - Boat-based line and trap fishing,14 - Estuarine habitats and assemblages - Fish assemblages,ES_1
15,3 - Social,"1 - North, 2 - Central, 3 - South",Resource use,11 - Boat-based line and trap fishing,14 - Estuarine habitats and assemblages - Fish assemblages,ES_1
16,5 - Economic,"1 - North, 2 - Central, 3 - South",Resource use,11 - Boat-based line and trap fishing,14 - Estuarine habitats and assemblages - Fish assemblages,ES_1
